,acq_week,N_week_cohort,initial_order,initial_order_per_cust,initial_spend,initial_aov,orders,orders_per_cust,spend,aov,year,holidays,weekofyear,linear,linear_1,merchant_index,merchant,category,subcategory
1748,2016-10-09,1769,1769,1.0,73967.01,41.8128942905596,2006,1.13397399660825,83517.55,41.6338733798604,0.0,0,40,0.0,0.0,100,giant_landover,Grocers,Supermarkets
1749,2016-10-16,1764,1764,1.0,59385.93,33.6654931972789,2005,1.13662131519274,67036.21,33.4345187032419,0.0,0,41,0.0056818181818181,3.22830578512397e-05,100,giant_landover,Grocers,Supermarkets
1750,2016-10-23,1680,1680,1.0,78810.69,46.911125,1867,1.11130952380952,89336.12,47.8500910551687,0.0,0,42,0.0113636363636364,0.0001291322314049,100,giant_landover,Grocers,Supermarkets
1751,2016-10-30,1592,1592,1.0,75047.94,47.1406658291457,1812,1.13819095477387,84452.88,46.6075496688742,0.0,0,43,0.0170454545454545,0.0002905475206611,100,giant_landover,Grocers,Supermarkets
1752,2016-11-06,2031,2031,1.0,90723.17,44.6692122107336,2320,1.14229443623831,101043.24,43.5531206896552,0.0,0,44,0.0227272727272727,0.0005165289256198,100,giant_landover,Grocers,Supermarkets
1753,2016-11-13,1806,1806,1.0,71031.81,39.3310132890365,2046,1.13289036544851,86769.55,42.4093597262952,0.0,0,45,0.0284090909090909,0.0008070764462809,100,giant_landover,Grocers,Supermarkets
1754,2016-11-20,2708,2708,1.0,108229.81,39.9666949778434,3118,1.15140324963072,127145.06,40.7777613855035,0.0,0,46,0.0340909090909091,0.0011621900826446,100,giant_landover,Grocers,Supermarkets
1755,2016-11-27,1498,1498,1.0,56800.92,37.9178371161549,1677,1.11949265687583,65601.7,39.1184853905784,0.0,0,47,0.0397727272727273,0.0015818698347107,100,giant_landover,Grocers,Supermarkets
1756,2016-12-04,1507,1507,1.0,64631.19,42.8873191771732,1730,1.14797611147976,71932.63,41.5795549132948,0.0,0,48,0.0454545454545455,0.0020661157024793,100,giant_landover,Grocers,Supermarkets
1757,2016-12-11,1557,1557,1.0,81144.49,52.1159216441876,1745,1.12074502247913,88215.66,50.5533868194843,0.0,0,49,0.0511363636363636,0.0026149276859504,100,giant_landover,Grocers,Supermarkets
1758,2016-12-18,2195,2195,1.0,119986.85,54.6637129840547,2505,1.14123006833713,136950.72,54.6709461077844,0.0,0,50,0.0568181818181818,0.0032283057851239,100,giant_landover,Grocers,Supermarkets
1759,2016-12-25,2288,2288,1.0,102199.81,44.6677491258741,2566,1.1215034965035,116735.68,45.4932501948558,0.0,1,51,0.0625,0.00390625,100,giant_landover,Grocers,Supermarkets
1760,2017-01-01,1695,1695,1.0,82570.46,48.7141356932153,1904,1.12330383480826,98197.05,51.574080882353,0.25,1,52,0.0681818181818182,0.0046487603305785,100,giant_landover,Grocers,Supermarkets
1761,2017-01-08,1397,1397,1.0,61023.91,43.6821116678597,1586,1.13528990694345,69171.96,43.6140983606557,0.25,0,1,0.0738636363636364,0.0054558367768595,100,giant_landover,Grocers,Supermarkets
1762,2017-01-15,1548,1548,1.0,72403.33,46.772177002584,1727,1.1156330749354,81022.1,46.9149392009265,0.25,0,2,0.0795454545454545,0.0063274793388429,100,giant_landover,Grocers,Supermarkets
1763,2017-01-22,1383,1383,1.0,62185.41,44.9641431670282,1555,1.12436731742589,67170.8,43.1966559485531,0.25,0,3,0.0852272727272727,0.0072636880165289,100,giant_landover,Grocers,Supermarkets
1764,2017-01-29,1301,1301,1.0,72196.7,55.493235972329,1468,1.12836279784781,77630.98,52.8821389645777,0.25,0,4,0.0909090909090909,0.0082644628099173,100,giant_landover,Grocers,Supermarkets
1765,2017-02-05,1479,1479,1.0,60593.67,40.9693509127789,1679,1.13522650439486,67442.1,40.1680166765932,0.25,0,5,0.0965909090909091,0.0093298037190082,100,giant_landover,Grocers,Supermarkets
1766,2017-02-12,1663,1663,1.0,74445.08,44.7655321707757,1937,1.16476247745039,86261.11,44.533355704698,0.25,0,6,0.102272727272727,0.0104597107438017,100,giant_landover,Grocers,Supermarkets
1767,2017-02-19,1525,1525,1.0,82167.72,53.8804721311476,1698,1.11344262295082,89423.02,52.6637338044759,0.25,0,7,0.107954545454545,0.0116541838842975,100,giant_landover,Grocers,Supermarkets
1768,2017-02-26,1347,1347,1.0,69665.48,51.7189903489236,1526,1.13288789903489,78231.66,51.2658322411534,0.25,0,8,0.113636363636364,0.0129132231404959,100,giant_landover,Grocers,Supermarkets
1769,2017-03-05,1384,1384,1.0,53735.25,38.8260476878613,1555,1.1235549132948,61484.83,39.5400836012862,0.25,0,9,0.119318181818182,0.0142368285123967,100,giant_landover,Grocers,Supermarkets
1770,2017-03-12,1312,1312,1.0,69523.36,52.9903658536586,1449,1.10442073170732,76766.74,52.9791166321601,0.25,0,10,0.125,0.015625,100,giant_landover,Grocers,Supermarkets
1771,2017-03-19,1235,1235,1.0,53210.08,43.0850850202429,1355,1.09716599190283,56840.51,41.9487158671587,0.25,0,11,0.130681818181818,0.0170777376033058,100,giant_landover,Grocers,Supermarkets
1772,2017-03-26,1170,1170,1.0,53789.9,45.9742735042735,1292,1.1042735042735,59935.94,46.3900464396285,0.25,0,12,0.136363636363636,0.018595041322314,100,giant_landover,Grocers,Supermarkets
1773,2017-04-02,1155,1155,1.0,49282.45,42.6687878787879,1262,1.09264069264069,51933.92,41.1520760697306,0.25,0,13,0.142045454545455,0.0201769111570248,100,giant_landover,Grocers,Supermarkets
1774,2017-04-09,1372,1372,1.0,54508.05,39.7288994169096,1540,1.12244897959184,62973.0,40.8915584415584,0.25,0,14,0.147727272727273,0.021823347107438,100,giant_landover,Grocers,Supermarkets
