week,year,holidays,weekofyear,linear,linear_1
2016-10-09,0.0,0,40,0.0,0.0
2016-10-16,0.0,0,41,0.0056818181818181,3.22830578512397e-05
2016-10-23,0.0,0,42,0.0113636363636364,0.0001291322314049
2016-10-30,0.0,0,43,0.0170454545454545,0.0002905475206611
2016-11-06,0.0,0,44,0.0227272727272727,0.0005165289256198
2016-11-13,0.0,0,45,0.0284090909090909,0.0008070764462809
2016-11-20,0.0,0,46,0.0340909090909091,0.0011621900826446
2016-11-27,0.0,0,47,0.0397727272727273,0.0015818698347107
2016-12-04,0.0,0,48,0.0454545454545455,0.0020661157024793
2016-12-11,0.0,0,49,0.0511363636363636,0.0026149276859504
2016-12-18,0.0,0,50,0.0568181818181818,0.0032283057851239
2016-12-25,0.0,1,51,0.0625,0.00390625
2017-01-01,0.25,1,52,0.0681818181818182,0.0046487603305785
2017-01-08,0.25,0,1,0.0738636363636364,0.0054558367768595
2017-01-15,0.25,0,2,0.0795454545454545,0.0063274793388429
2017-01-22,0.25,0,3,0.0852272727272727,0.0072636880165289
2017-01-29,0.25,0,4,0.0909090909090909,0.0082644628099173
2017-02-05,0.25,0,5,0.0965909090909091,0.0093298037190082
2017-02-12,0.25,0,6,0.102272727272727,0.0104597107438017
2017-02-19,0.25,0,7,0.107954545454545,0.0116541838842975
2017-02-26,0.25,0,8,0.113636363636364,0.0129132231404959
2017-03-05,0.25,0,9,0.119318181818182,0.0142368285123967
2017-03-12,0.25,0,10,0.125,0.015625
2017-03-19,0.25,0,11,0.130681818181818,0.0170777376033058
2017-03-26,0.25,0,12,0.136363636363636,0.018595041322314
2017-04-02,0.25,0,13,0.142045454545455,0.0201769111570248
2017-04-09,0.25,0,14,0.147727272727273,0.021823347107438
2017-04-16,0.25,0,15,0.153409090909091,0.0235343491735537
2017-04-23,0.25,0,16,0.159090909090909,0.0253099173553719
2017-04-30,0.25,0,17,0.164772727272727,0.0271500516528926
2017-05-07,0.25,0,18,0.170454545454545,0.0290547520661157
2017-05-14,0.25,0,19,0.176136363636364,0.0310240185950413
2017-05-21,0.25,0,20,0.181818181818182,0.0330578512396694
2017-05-28,0.25,0,21,0.1875,0.03515625
2017-06-04,0.25,0,22,0.193181818181818,0.0373192148760331
2017-06-11,0.25,0,23,0.198863636363636,0.0395467458677686
2017-06-18,0.25,0,24,0.204545454545455,0.0418388429752066
2017-06-25,0.25,0,25,0.210227272727273,0.0441955061983471
2017-07-02,0.25,0,26,0.215909090909091,0.0466167355371901
2017-07-09,0.25,0,27,0.221590909090909,0.0491025309917355
2017-07-16,0.25,0,28,0.227272727272727,0.0516528925619835
2017-07-23,0.25,0,29,0.232954545454545,0.0542678202479339
2017-07-30,0.25,0,30,0.238636363636364,0.0569473140495868
2017-08-06,0.25,0,31,0.244318181818182,0.0596913739669422
2017-08-13,0.25,0,32,0.25,0.0625
2017-08-20,0.25,0,33,0.255681818181818,0.0653731921487603
2017-08-27,0.25,0,34,0.261363636363636,0.0683109504132231
2017-09-03,0.25,0,35,0.267045454545455,0.0713132747933884
2017-09-10,0.25,0,36,0.272727272727273,0.0743801652892562
2017-09-17,0.25,0,37,0.278409090909091,0.0775116219008265
2017-09-24,0.25,0,38,0.284090909090909,0.0807076446280992
2017-10-01,0.25,0,39,0.289772727272727,0.0839682334710744
2017-10-08,0.25,0,40,0.295454545454545,0.0872933884297521
2017-10-15,0.25,0,41,0.301136363636364,0.0906831095041322
2017-10-22,0.25,0,42,0.306818181818182,0.0941373966942149
2017-10-29,0.25,0,43,0.3125,0.09765625
2017-11-05,0.25,0,44,0.318181818181818,0.101239669421488
2017-11-12,0.25,0,45,0.323863636363636,0.104887654958678
2017-11-19,0.25,0,46,0.329545454545455,0.10860020661157
2017-11-26,0.25,0,47,0.335227272727273,0.112377324380165
2017-12-03,0.25,0,48,0.340909090909091,0.116219008264463
2017-12-10,0.25,0,49,0.346590909090909,0.120125258264463
2017-12-17,0.25,0,50,0.352272727272727,0.124096074380165
2017-12-24,0.25,0,51,0.357954545454545,0.12813145661157
2017-12-31,0.25,0,52,0.363636363636364,0.132231404958678
2018-01-07,0.5,0,1,0.369318181818182,0.136395919421488
2018-01-14,0.5,0,2,0.375,0.140625
2018-01-21,0.5,0,3,0.380681818181818,0.144918646694215
2018-01-28,0.5,0,4,0.386363636363636,0.149276859504132
2018-02-04,0.5,0,5,0.392045454545455,0.153699638429752
2018-02-11,0.5,0,6,0.397727272727273,0.158186983471074
2018-02-18,0.5,0,7,0.403409090909091,0.162738894628099
2018-02-25,0.5,0,8,0.409090909090909,0.167355371900826
2018-03-04,0.5,0,9,0.414772727272727,0.172036415289256
2018-03-11,0.5,0,10,0.420454545454546,0.176782024793388
2018-03-18,0.5,0,11,0.426136363636364,0.181592200413223
2018-03-25,0.5,0,12,0.431818181818182,0.18646694214876
2018-04-01,0.5,0,13,0.4375,0.19140625
2018-04-08,0.5,0,14,0.443181818181818,0.196410123966942
2018-04-15,0.5,0,15,0.448863636363636,0.201478564049587
2018-04-22,0.5,0,16,0.454545454545455,0.206611570247934
2018-04-29,0.5,0,17,0.460227272727273,0.211809142561984
2018-05-06,0.5,0,18,0.465909090909091,0.217071280991736
2018-05-13,0.5,0,19,0.471590909090909,0.22239798553719
2018-05-20,0.5,0,20,0.477272727272727,0.227789256198347
2018-05-27,0.5,0,21,0.482954545454546,0.233245092975207
